booking_id,package_id,user_id,booking_date,travel_date,lead_time_days,group_size,final_price_paid
BKG00001,PKG0014,USR0348,2025-01-14,2025-02-28,45,2,12280
BKG00002,PKG0048,USR0191,2024-03-19,2024-04-03,15,5,52240
BKG00003,PKG0038,USR0294,2025-01-10,2025-01-25,15,2,201940
BKG00004,PKG0004,USR0204,2024-10-12,2024-10-22,10,2,19300
BKG00005,PKG0026,USR0128,2024-01-27,2024-02-16,20,4,109770
BKG00006,PKG0035,USR0377,2025-06-14,2025-06-29,15,2,12110
BKG00007,PKG0040,USR0199,2024-04-30,2024-05-30,30,4,89100
BKG00008,PKG0010,USR0135,2025-04-01,2025-05-16,45,2,33960
BKG00009,PKG0027,USR0110,2024-10-19,2024-12-18,60,2,19170
BKG00010,PKG0060,USR0356,2025-05-17,2025-09-14,120,3,14410
BKG00011,PKG0031,USR0103,2024-03-16,2024-05-15,60,6,191580
BKG00012,PKG0010,USR0232,2025-03-31,2025-07-29,120,2,25410
BKG00013,PKG0054,USR0045,2024-11-23,2025-02-21,90,5,84990
BKG00014,PKG0010,USR0342,2024-03-07,2024-04-21,45,2,36750
BKG00015,PKG0051,USR0282,2024-11-03,2024-11-13,10,6,131070
BKG00016,PKG0010,USR0081,2024-06-27,2024-07-27,30,2,28450
BKG00017,PKG0005,USR0186,2024-05-04,2024-05-06,2,2,73130
BKG00018,PKG0018,USR0103,2024-08-30,2024-09-29,30,2,26440
BKG00019,PKG0013,USR0253,2025-07-21,2025-07-26,5,4,103790
BKG00020,PKG0038,USR0294,2025-07-18,2025-08-17,30,2,151290
BKG00021,PKG0027,USR0067,2024-03-29,2024-04-08,10,2,25560
BKG00022,PKG0001,USR0034,2025-05-05,2025-05-25,20,3,155160
BKG00023,PKG0047,USR0270,2025-02-23,2025-03-05,10,3,79470
BKG00024,PKG0032,USR0295,2024-11-20,2024-12-10,20,6,146420
BKG00025,PKG0009,USR0329,2025-04-22,2025-05-07,15,4,62580
BKG00026,PKG0049,USR0349,2024-05-11,2024-08-09,90,8,191720
BKG00027,PKG0042,USR0400,2025-08-24,2025-09-13,20,2,89880
BKG00028,PKG0038,USR0094,2024-05-12,2024-06-26,45,6,440570
BKG00029,PKG0005,USR0222,2024-02-26,2024-03-27,30,2,44200
BKG00030,PKG0006,USR0064,2024-11-07,2024-12-22,45,1,11150
BKG00031,PKG0058,USR0085,2024-08-18,2024-10-17,60,2,44650
BKG00032,PKG0011,USR0178,2025-06-15,2025-06-25,10,1,52670
BKG00033,PKG0016,USR0146,2024-09-13,2024-09-15,2,1,47950
BKG00034,PKG0022,USR0101,2025-07-18,2025-07-28,10,2,19670
BKG00035,PKG0031,USR0141,2024-11-06,2024-11-21,15,10,403600
BKG00036,PKG0040,USR0315,2025-05-29,2025-06-03,5,2,55730
BKG00037,PKG0022,USR0329,2025-08-17,2025-09-06,20,2,16150
BKG00038,PKG0034,USR0079,2025-10-01,2025-11-15,45,2,103800
BKG00039,PKG0033,USR0369,2024-12-11,2024-12-21,10,1,34480
BKG00040,PKG0016,USR0289,2024-01-30,2024-02-19,20,2,64860
BKG00041,PKG0020,USR0042,2025-08-13,2025-10-12,60,4,85020
BKG00042,PKG0001,USR0136,2025-08-08,2025-10-07,60,1,45640
BKG00043,PKG0059,USR0214,2024-02-01,2024-02-21,20,2,40850
BKG00044,PKG0044,USR0255,2025-07-12,2025-10-10,90,4,184020
BKG00045,PKG0043,USR0149,2024-11-05,2024-11-07,2,4,169870
BKG00046,PKG0029,USR0248,2025-02-19,2025-04-05,45,1,25420
BKG00047,PKG0033,USR0153,2024-03-02,2024-04-16,45,4,113630
BKG00048,PKG0005,USR0081,2025-05-10,2025-05-15,5,2,76530
BKG00049,PKG0035,USR0238,2025-09-13,2025-09-18,5,5,30130
BKG00050,PKG0038,USR0074,2024-11-22,2024-12-22,30,2,182830
BKG00051,PKG0046,USR0376,2024-12-19,2025-02-17,60,8,190280
BKG00052,PKG0023,USR0205,2025-01-14,2025-05-14,120,2,150250
BKG00053,PKG0052,USR0264,2024-11-22,2024-12-02,10,5,64180
BKG00054,PKG0026,USR0124,2024-09-30,2024-11-29,60,5,164240
BKG00055,PKG0001,USR0231,2024-04-09,2024-04-24,15,2,134410
BKG00056,PKG0047,USR0026,2025-01-28,2025-04-28,90,1,29090
BKG00057,PKG0033,USR0316,2024-06-12,2024-10-10,120,1,20720
BKG00058,PKG0012,USR0168,2024-11-16,2024-12-16,30,3,161280
BKG00059,PKG0020,USR0098,2025-05-25,2025-05-30,5,2,74170
BKG00060,PKG0031,USR0264,2024-11-11,2024-11-16,5,6,286630
BKG00061,PKG0042,USR0255,2025-02-06,2025-02-16,10,1,54210
BKG00062,PKG0049,USR0259,2024-09-03,2024-09-08,5,2,96600
BKG00063,PKG0030,USR0111,2024-02-19,2024-03-05,15,6,648660
BKG00064,PKG0010,USR0026,2025-09-03,2025-09-18,15,8,125270
BKG00065,PKG0033,USR0335,2024-10-19,2024-11-18,30,1,29520
BKG00066,PKG0022,USR0275,2024-04-20,2024-05-10,20,2,16890
