user_id,package_id,rating,rating_date
USR0297,PKG0024,4,2024-05-16
USR0245,PKG0006,5,2024-07-18
USR0217,PKG0023,5,2025-03-04
USR0317,PKG0013,4,2025-08-05
USR0090,PKG0028,5,2024-07-17
USR0042,PKG0042,4,2025-03-03
USR0138,PKG0045,5,2024-06-04
USR0147,PKG0035,3,2025-03-13
USR0320,PKG0054,4,2025-07-14
USR0291,PKG0049,4,2025-08-04
USR0229,PKG0038,3,2024-09-18
USR0139,PKG0017,3,2024-08-03
USR0348,PKG0058,5,2024-01-01
USR0213,PKG0030,4,2024-03-08
USR0268,PKG0007,3,2024-06-16
USR0222,PKG0031,4,2024-02-08
USR0099,PKG0056,2,2024-09-28
USR0277,PKG0041,3,2025-05-09
USR0356,PKG0010,4,2024-03-08
USR0131,PKG0041,3,2024-08-12
USR0166,PKG0036,3,2025-04-24
USR0126,PKG0011,2,2024-06-18
USR0042,PKG0030,4,2025-11-19
USR0004,PKG0043,3,2025-05-20
USR0128,PKG0031,3,2024-04-26
USR0130,PKG0034,5,2024-03-22
USR0390,PKG0028,5,2025-11-16
USR0017,PKG0050,4,2025-04-15
USR0333,PKG0024,4,2024-12-16
USR0118,PKG0026,3,2025-09-23
USR0243,PKG0020,2,2025-01-16
USR0048,PKG0036,3,2025-04-25
USR0035,PKG0032,5,2024-09-21
USR0207,PKG0039,1,2025-08-13
USR0378,PKG0058,4,2025-07-25
USR0315,PKG0017,4,2025-07-15
USR0084,PKG0030,2,2024-12-04
USR0066,PKG0044,4,2025-10-08
USR0342,PKG0002,4,2025-11-11
USR0185,PKG0013,4,2024-11-30
USR0018,PKG0024,4,2025-06-23
USR0172,PKG0034,4,2024-06-08
USR0329,PKG0047,2,2025-11-14
USR0037,PKG0043,5,2025-11-29
USR0369,PKG0022,4,2025-08-26
USR0251,PKG0057,5,2025-06-16
USR0303,PKG0028,2,2025-11-29
USR0158,PKG0005,2,2024-10-12
USR0161,PKG0050,4,2025-08-31
USR0318,PKG0045,4,2024-09-08
USR0232,PKG0020,4,2024-08-19
USR0172,PKG0010,3,2024-01-23
USR0356,PKG0024,4,2025-03-20
USR0387,PKG0054,5,2025-05-09
USR0233,PKG0015,3,2024-10-05
USR0309,PKG0038,5,2024-12-02
USR0335,PKG0046,2,2025-06-05
USR0282,PKG0044,2,2024-11-03
USR0342,PKG0014,5,2025-05-25
USR0321,PKG0022,3,2025-02-18
USR0291,PKG0023,4,2024-02-22
USR0071,PKG0031,3,2025-08-28
USR0297,PKG0049,2,2024-11-03
USR0372,PKG0019,3,2024-09-20
USR0108,PKG0028,2,2024-04-19
USR0342,PKG0005,4,2024-05-31
USR0361,PKG0002,2,2025-07-22
USR0121,PKG0023,5,2024-08-16
USR0238,PKG0006,3,2024-08-12
USR0288,PKG0015,3,2024-09-11
USR0257,PKG0056,5,2025-04-20
USR0156,PKG0048,5,2024-06-05
USR0371,PKG0057,3,2024-04-10
USR0043,PKG0005,5,2025-07-09
USR0040,PKG0015,5,2025-06-01
USR0311,PKG0042,4,2025-01-06
USR0060,PKG0057,3,2025-02-26
USR0319,PKG0030,3,2025-02-13
USR0317,PKG0023,5,2025-03-05
USR0380,PKG0033,3,2025-08-03
USR0120,PKG0026,4,2024-12-05
USR0043,PKG0018,3,2024-11-02
USR0182,PKG0046,5,2024-03-24
USR0052,PKG0008,3,2024-09-05
USR0037,PKG0015,4,2024-06-15
USR0231,PKG0001,4,2025-09-30
USR0131,PKG0016,3,2025-05-07
USR0332,PKG0003,4,2025-11-09
USR0338,PKG0028,3,2024-03-08
USR0234,PKG0015,4,2024-11-17
USR0321,PKG0001,4,2024-02-28
USR0076,PKG0028,3,2025-03-22
USR0134,PKG0058,2,2025-02-19
USR0334,PKG0008,4,2025-03-18
USR0174,PKG0031,3,2024-06-06
USR0109,PKG0015,4,2025-02-28
USR0168,PKG0012,3,2025-04-29
USR0302,PKG0031,4,2024-02-01
USR0173,PKG0010,3,2024-12-07
USR0394,PKG0009,4,2025-01-14
USR0368,PKG0036,3,2024-05-01
USR0333,PKG0043,4,2024-11-11
USR0294,PKG0010,4,2024-08-29
USR0147,PKG0054,4,2025-05-13
USR0360,PKG0036,5,2025-05-18
USR0123,PKG0044,2,2025-02-09
USR0211,PKG0056,4,2025-08-25
USR0258,PKG0040,3,2024-08-07
USR0021,PKG0040,2,2025-02-19
USR0161,PKG0012,4,2025-03-16
USR0231,PKG0020,4,2024-08-28
USR0160,PKG0012,3,2024-10-20
USR0308,PKG0007,5,2024-09-06
USR0040,PKG0030,4,2025-09-17
USR0153,PKG0039,5,2024-06-17
USR0270,PKG0043,5,2024-12-10
USR0384,PKG0060,4,2024-06-12
USR0216,PKG0056,3,2025-09-04
USR0338,PKG0024,3,2024-11-30
USR0193,PKG0051,3,2025-08-30
USR0077,PKG0031,4,2025-01-20
USR0138,PKG0050,5,2024-03-25
USR0126,PKG0001,5,2024-04-13
USR0204,PKG0004,3,2024-03-25
USR0346,PKG0059,3,2024-03-25
USR0044,PKG0026,5,2024-01-09
USR0090,PKG0031,3,2024-06-02
USR0168,PKG0036,5,2025-07-07
USR0290,PKG0052,3,2025-03-14
USR0146,PKG0034,4,2025-05-19
USR0193,PKG0053,4,2024-04-04
USR0158,PKG0039,3,2025-10-25
USR0197,PKG0058,3,2024-06-04
USR0393,PKG0034,3,2024-02-22
USR0162,PKG0060,4,2024-01-03
USR0315,PKG0035,5,2025-04-27
USR0338,PKG0001,3,2024-06-30
USR0289,PKG0030,5,2024-02-03
USR0069,PKG0057,3,2024-05-16
USR0020,PKG0054,2,2024-10-25
USR0038,PKG0030,4,2025-01-10
USR0028,PKG0037,3,2025-11-26
USR0350,PKG0019,5,2024-12-31
USR0242,PKG0001,3,2025-11-13
USR0255,PKG0058,3,2025-08-08
USR0173,PKG0018,3,2024-03-30
USR0087,PKG0040,4,2024-02-11
USR0177,PKG0030,3,2024-06-18
USR0310,PKG0023,5,2024-11-13
USR0246,PKG0051,2,2024-12-04
USR0320,PKG0018,3,2024-04-12
USR0083,PKG0002,3,2024-02-09
USR0248,PKG0025,2,2025-08-19
USR0160,PKG0025,5,2024-03-25
USR0029,PKG0057,3,2024-02-10
USR0258,PKG0022,4,2025-09-21
USR0100,PKG0010,5,2024-01-01
USR0082,PKG0004,5,2024-07-15
USR0231,PKG0032,3,2024-06-23
USR0393,PKG0050,4,2025-02-04
USR0061,PKG0035,4,2025-05-17
USR0073,PKG0046,4,2024-04-20
USR0250,PKG0043,4,2024-09-30
USR0186,PKG0006,3,2025-08-30
USR0217,PKG0047,4,2024-10-25
USR0134,PKG0045,3,2025-09-22
USR0112,PKG0007,3,2025-06-22
USR0384,PKG0020,5,2024-03-14
USR0329,PKG0041,4,2025-09-19
USR0095,PKG0038,4,2024-10-18
USR0064,PKG0058,4,2024-05-21
USR0345,PKG0037,5,2024-03-07
USR0333,PKG0037,2,2025-04-18
USR0385,PKG0052,3,2025-09-12
USR0278,PKG0053,3,2024-09-23
USR0019,PKG0040,3,2024-06-10
USR0360,PKG0056,5,2025-10-20
USR0193,PKG0017,4,2025-06-11
USR0328,PKG0053,4,2024-04-08
USR0168,PKG0051,4,2025-05-23
USR0295,PKG0041,5,2025-09-13
USR0088,PKG0045,3,2024-08-17
USR0223,PKG0016,4,2024-10-17
USR0014,PKG0050,4,2024-02-02
USR0056,PKG0005,3,2025-02-06
USR0372,PKG0040,4,2024-12-12
USR0312,PKG0047,5,2025-11-11
USR0351,PKG0038,2,2024-06-15
USR0108,PKG0030,4,2025-04-29
USR0370,PKG0039,4,2025-04-08
USR0216,PKG0007,3,2025-01-02
USR0330,PKG0052,4,2025-06-05
USR0126,PKG0056,4,2024-11-09
USR0043,PKG0028,3,2024-10-27
USR0386,PKG0024,4,2025-10-31
USR0164,PKG0015,2,2025-02-14
USR0053,PKG0057,5,2025-03-04
USR0058,PKG0031,3,2024-08-28
USR0283,PKG0004,2,2024-11-12
USR0142,PKG0016,3,2025-11-13
USR0127,PKG0043,3,2024-11-30
USR0343,PKG0033,3,2024-08-03
USR0234,PKG0024,2,2024-09-03
USR0227,PKG0019,3,2025-04-17
USR0055,PKG0036,5,2024-06-01
USR0303,PKG0015,3,2024-06-07
USR0395,PKG0047,4,2024-02-07
USR0171,PKG0045,3,2024-03-22
USR0218,PKG0033,3,2024-03-01
USR0029,PKG0016,5,2025-08-24
USR0010,PKG0056,5,2024-04-30
USR0212,PKG0056,2,2024-05-31
USR0381,PKG0047,3,2024-04-20
USR0049,PKG0020,3,2025-04-04
USR0348,PKG0004,4,2024-05-09
USR0398,PKG0042,2,2024-06-01
USR0147,PKG0015,4,2024-03-16
USR0041,PKG0025,5,2024-10-16
USR0386,PKG0006,4,2024-12-06
USR0276,PKG0017,5,2024-11-23
USR0356,PKG0028,4,2025-08-16
USR0367,PKG0028,4,2024-09-01
USR0059,PKG0013,3,2025-05-08
USR0271,PKG0060,3,2025-03-21
USR0052,PKG0055,4,2025-02-23
USR0372,PKG0041,3,2024-05-05
USR0210,PKG0011,5,2025-10-21
USR0307,PKG0049,4,2025-11-15
USR0024,PKG0002,3,2025-11-18
USR0281,PKG0043,4,2025-07-19
USR0042,PKG0039,3,2025-08-24
USR0268,PKG0031,4,2024-11-05
USR0393,PKG0042,4,2024-08-02
USR0148,PKG0003,3,2025-04-29
USR0278,PKG0057,4,2025-11-02
USR0072,PKG0052,4,2024-02-04
USR0391,PKG0025,4,2025-01-07
USR0114,PKG0049,4,2024-06-09
USR0328,PKG0042,4,2025-02-04
USR0211,PKG0005,3,2024-07-15
USR0040,PKG0045,4,2024-12-19
USR0109,PKG0020,5,2024-03-08
USR0383,PKG0045,3,2024-02-20
USR0102,PKG0060,5,2024-02-02
USR0331,PKG0017,5,2024-09-15
USR0275,PKG0031,4,2025-02-02
USR0075,PKG0038,4,2024-07-10
USR0251,PKG0037,2,2025-05-24
USR0085,PKG0038,4,2025-04-19
USR0267,PKG0023,4,2025-11-05
USR0333,PKG0054,4,2025-02-11
USR0263,PKG0030,2,2024-11-27
USR0153,PKG0023,3,2025-04-05
USR0238,PKG0036,4,2024-05-16
USR0036,PKG0028,3,2024-11-30
USR0173,PKG0043,3,2025-03-08
USR0379,PKG0005,1,2025-11-05
USR0134,PKG0018,4,2024-11-18
USR0069,PKG0022,4,2025-08-03
USR0346,PKG0041,4,2024-07-07
USR0315,PKG0022,3,2024-01-08
USR0226,PKG0019,3,2024-06-17
USR0253,PKG0013,3,2024-09-13
USR0206,PKG0025,3,2025-03-01
USR0352,PKG0056,5,2024-04-05
USR0332,PKG0001,3,2025-05-13
USR0356,PKG0020,5,2024-12-08
USR0348,PKG0006,5,2024-05-31
