user_id,preferred_categories,budget_range,past_bookings_count,signup_date
USR0001,Wildlife,10k-25k,2,2023-10-13
USR0002,Leisure;Adventure,50k-100k,3,2025-04-07
USR0003,Adventure;Honeymoon;Beach,<10k,3,2023-04-06
USR0004,Leisure,50k-100k,3,2024-05-12
USR0005,Leisure;Wildlife,<10k,2,2023-06-18
USR0006,Adventure;Wildlife,25k-50k,0,2025-03-13
USR0007,Cultural;Wildlife,100k+,2,2024-11-08
USR0008,Wildlife;Leisure;Pilgrimage,25k-50k,2,2023-08-11
USR0009,Beach,100k+,2,2023-03-04
USR0010,Cultural;Adventure;Pilgrimage,100k+,2,2024-05-03
USR0011,Honeymoon;Beach;Leisure,<10k,3,2024-06-04
USR0012,Honeymoon,10k-25k,4,2023-03-12
USR0013,Adventure;Pilgrimage;Leisure,50k-100k,2,2023-05-03
USR0014,Leisure;Beach;Pilgrimage,<10k,2,2024-09-26
USR0015,Wildlife,100k+,5,2024-08-01
USR0016,Cultural;Honeymoon;Leisure,25k-50k,3,2023-09-02
USR0017,Wildlife;Leisure,25k-50k,1,2024-04-13
USR0018,Honeymoon;Adventure,<10k,0,2024-04-14
USR0019,Beach;Adventure;Pilgrimage,100k+,2,2023-08-07
USR0020,Cultural;Leisure;Honeymoon,<10k,3,2025-06-19
USR0021,Cultural,25k-50k,5,2023-06-11
USR0022,Honeymoon;Beach,25k-50k,1,2024-09-18
USR0023,Beach;Adventure;Honeymoon,25k-50k,1,2024-11-10
USR0024,Leisure,25k-50k,6,2023-04-29
USR0025,Pilgrimage,100k+,2,2023-06-09
USR0026,Cultural;Beach,10k-25k,1,2025-01-04
USR0027,Leisure;Pilgrimage,25k-50k,5,2024-06-01
USR0028,Cultural;Adventure,<10k,0,2024-10-11
USR0029,Honeymoon;Cultural,<10k,6,2023-01-04
USR0030,Honeymoon;Leisure,25k-50k,2,2023-06-15
USR0031,Wildlife;Beach;Honeymoon,100k+,4,2023-01-10
USR0032,Adventure,10k-25k,3,2024-07-12
USR0033,Honeymoon,25k-50k,5,2024-08-19
USR0034,Leisure;Wildlife;Honeymoon,<10k,7,2023-11-12
USR0035,Honeymoon;Adventure,25k-50k,4,2023-08-04
USR0036,Leisure;Pilgrimage;Adventure,25k-50k,1,2025-03-09
USR0037,Honeymoon;Wildlife;Beach,10k-25k,0,2023-08-31
USR0038,Honeymoon,10k-25k,2,2024-02-27
USR0039,Leisure,25k-50k,1,2025-03-12
USR0040,Honeymoon;Pilgrimage,10k-25k,0,2023-10-01
USR0041,Honeymoon,<10k,2,2024-01-27
USR0042,Honeymoon,50k-100k,3,2023-08-16
USR0043,Honeymoon,50k-100k,1,2023-12-25
USR0044,Honeymoon;Leisure,10k-25k,5,2023-01-25
USR0045,Leisure;Wildlife;Cultural,25k-50k,2,2025-06-04
USR0046,Honeymoon,25k-50k,1,2023-12-26
USR0047,Beach;Wildlife;Honeymoon,25k-50k,0,2023-01-29
USR0048,Cultural,10k-25k,4,2024-08-17
USR0049,Adventure;Honeymoon,100k+,1,2024-03-20
USR0050,Pilgrimage;Cultural,50k-100k,3,2024-09-12
USR0051,Adventure;Wildlife;Beach,10k-25k,5,2023-09-18
USR0052,Pilgrimage,50k-100k,2,2023-01-02
USR0053,Honeymoon;Beach;Leisure,25k-50k,1,2024-03-17
USR0054,Pilgrimage,25k-50k,0,2024-09-30
USR0055,Pilgrimage;Adventure,25k-50k,3,2024-06-03
USR0056,Pilgrimage;Wildlife,25k-50k,2,2024-02-17
USR0057,Cultural;Beach;Leisure,10k-25k,3,2024-03-06
USR0058,Wildlife;Pilgrimage;Leisure,100k+,0,2024-08-05
USR0059,Wildlife;Beach,<10k,4,2023-11-08
USR0060,Leisure;Wildlife,100k+,1,2024-09-13
USR0061,Cultural;Wildlife;Pilgrimage,50k-100k,1,2024-11-22
USR0062,Beach,50k-100k,4,2025-03-23
USR0063,Leisure;Pilgrimage;Adventure,25k-50k,5,2024-06-11
USR0064,Pilgrimage;Beach;Cultural,<10k,1,2025-04-18
USR0065,Pilgrimage,25k-50k,1,2023-08-19
USR0066,Leisure,<10k,1,2023-02-17
USR0067,Wildlife,100k+,0,2025-05-20
USR0068,Wildlife,50k-100k,2,2024-10-06
USR0069,Leisure;Pilgrimage;Wildlife,50k-100k,2,2024-02-14
USR0070,Leisure,<10k,5,2025-02-07
